adresse,da,name,objectid,plz,poi_id,gsz_id,geometry,geometry
Holunderweg                                                           ,Grün Stadt Zürich,Birchwald                                                             ,10732,8050,sp123,123,POINT Z (2682779 1251481 0),POINT Z (2682779 1251481 0)
Einfang-/Wehntalerstrasse 447                                         ,Grün Stadt Zürich,Im Einfang                                                            ,10733,8046,sp122,122,POINT Z (2681074 1252264 0),POINT Z (2681074 1252264 0)
"Katzenseestrasse, am Südufer des Katzensees                           ",Grün Stadt Zürich,Katzensee (Seebad)                                                    ,10734,8046,sp121,121,POINT Z (2679601 1253914.5 0),POINT Z (2679601 1253914.5 0)
"Werdinsel, Winzerhalde                                                ",Grün Stadt Zürich,Au-Höngg (Flussbad)                                                   ,10735,8049,sp119,119,POINT Z (2679350 1250345.6 0),POINT Z (2679350 1250345.6 0)
Langmauerstrasse 7 (Spielplatz)                                       ,Grün Stadt Zürich,Quartiertreff Unterstrass                                             ,10736,8006,sp118,118,POINT Z (2683213.2 1249257 0),POINT Z (2683213.2 1249257 0)
Heuelstrasse                                                          ,Grün Stadt Zürich,Sonnenberg-Terrasse                                                   ,10759,8032,sp050,50,POINT Z (2685246.2 1246972.5 0),POINT Z (2685246.2 1246972.5 0)
Winkelwiese 4 (Spielplatz)                                            ,Grün Stadt Zürich,Villa Tobler                                                          ,10760,8001,sp049,49,POINT Z (2683682.5 1247154.5 0),POINT Z (2683682.5 1247154.5 0)
Winterthurer-/Milchbuckstrasse                                        ,Grün Stadt Zürich,Milchbuckanlage                                                       ,10761,8057,sp028,28,POINT Z (2683473 1249802.9 0),POINT Z (2683473 1249802.9 0)
Nord-/Lehenstrasse                                                    ,Grün Stadt Zürich,Lehenanlage                                                           ,10762,8037,sp027,27,POINT Z (2681794.8 1250050.8 0),POINT Z (2681794.8 1250050.8 0)
Döltschiweg 130 (Spielplatz)                                          ,Grün Stadt Zürich,GZ Heuried Erlebnisgarten                                             ,10768,8055,sp074a,0074A,POINT Z (2680401 1246815.9 0),POINT Z (2680401 1246815.9 0)
Nordstrasse                                                           ,Grün Stadt Zürich,Schindlergut                                                          ,10769,8006,sp033b,0033B,POINT Z (2682865 1248991.9 0),POINT Z (2682865 1248991.9 0)
Rieter-/Waffenplatzstrasse                                            ,Grün Stadt Zürich,Rieteranlage                                                          ,10770,8002,sp117,117,POINT Z (2682191.5 1245633.8 0),POINT Z (2682191.5 1245633.8 0)
Friesenbergsstrasse/Wasserschöpfi                                     ,Grün Stadt Zürich,Wasserschöpfi                                                         ,10775,8055,sp075,75,POINT Z (2680785.8 1246566.6 0),POINT Z (2680785.8 1246566.6 0)
"Manessestrasse, neben Sportplatz                                      ",Grün Stadt Zürich,Sihlhölzli                                                            ,10776,8003,sp073,73,POINT Z (2681957 1246772.9 0),POINT Z (2681957 1246772.9 0)
Schlossgasse/Wiedingstrasse                                           ,Grün Stadt Zürich,Kollerwiese                                                           ,10777,8003,sp072,72,POINT Z (2681614.8 1246937.1 0),POINT Z (2681614.8 1246937.1 0)
Erlach-/Aegertenstrasse                                               ,Grün Stadt Zürich,Aegerten                                                              ,10778,8003,sp071,71,POINT Z (2681883 1246965 0),POINT Z (2681883 1246965 0)
Triemlifussweg                                                        ,Grün Stadt Zürich,Triemlifussweg                                                        ,10779,8055,sp070,70,POINT Z (2680114 1247142.9 0),POINT Z (2680114 1247142.9 0)
Gutstrasse                                                            ,Grün Stadt Zürich,Im Gut                                                                ,10780,8055,sp069,69,POINT Z (2680578.8 1247267 0),POINT Z (2680578.8 1247267 0)
Nord-/Kronenstrasse                                                   ,Grün Stadt Zürich,GZ Schindlergut                                                       ,10803,8006,sp033a,0033A,POINT Z (2682899 1249033.5 0),POINT Z (2682899 1249033.5 0)
Dialogweg 6                                                           ,Grün Stadt Zürich,Andreaspark B                                                         ,10804,8050,sp163b,0163B,POINT Z (2684631 1251983.9 0),POINT Z (2684631 1251983.9 0)
Andreasstrasse/Riedgrabenweg                                          ,Grün Stadt Zürich,Andreaspark A                                                         ,10805,8050,sp163a,0163A,POINT Z (2684493.2 1251972.4 0),POINT Z (2684493.2 1251972.4 0)
Stiglenstrasse                                                        ,Grün Stadt Zürich,Eichrain Tennisplatz                                                  ,10806,8052,sp132a,0132A,POINT Z (2683717 1253717 0),POINT Z (2683717 1253717 0)
Schärrergasse                                                         ,Grün Stadt Zürich,Schärrerwiese                                                         ,10810,8049,sp090,90,POINT Z (2679932.8 1250762.6 0),POINT Z (2679932.8 1250762.6 0)
Waidbadstrasse                                                        ,Grün Stadt Zürich,Waidbad                                                               ,10811,8037,sp089,89,POINT Z (2681276 1250821.1 0),POINT Z (2681276 1250821.1 0)
Erligatterweg 51                                                      ,Grün Stadt Zürich,GZ Neubühl                                                            ,10812,8038,sp087,87,POINT Z (2682696.8 1242927.4 0),POINT Z (2682696.8 1242927.4 0)
Kalkbreitestrasse 93                                                  ,Grün Stadt Zürich,Wiedinghof                                                            ,10813,8003,sp068,68,POINT Z (2681434.8 1247313.2 0),POINT Z (2681434.8 1247313.2 0)
Neunbrunnenstrasse                                                    ,Grün Stadt Zürich,Neunbrunnenanlage                                                     ,10816,8050,sp008,8,POINT Z (2683333 1252391 0),POINT Z (2683333 1252391 0)
Schaffhauserstrasse                                                   ,Grün Stadt Zürich,Emil-Oberhänsli-Anlage                                                ,10817,8050,sp007,7,POINT Z (2683496 1252436 0),POINT Z (2683496 1252436 0)
Schärenmoosstrasse                                                    ,Grün Stadt Zürich,Schärenmooswiese                                                      ,10818,8052,sp004,4,POINT Z (2684012 1252872 0),POINT Z (2684012 1252872 0)
"Am Katzenbach, Hertensteinstrasse                                     ",Grün Stadt Zürich,GZ Seebach                                                            ,10819,8052,sp002,2,POINT Z (2683471 1253206.9 0),POINT Z (2683471 1253206.9 0)
Bodenacker 25                                                         ,Grün Stadt Zürich,GZ Affoltern                                                          ,10820,8046,sp001,1,POINT Z (2680874 1253233.9 0),POINT Z (2680874 1253233.9 0)
Loorenkopfstrasse                                                     ,Grün Stadt Zürich,Loorenkopf                                                            ,10843,8053,sp137,137,POINT Z (2687639 1247185 0),POINT Z (2687639 1247185 0)
Binzmühlestrasse 40                                                   ,Grün Stadt Zürich,Brache Binzmühlestrasse                                               ,10844,8050,sp195,195,POINT Z (2683599 1252070 0),POINT Z (2683599 1252070 0)
Bellerivestrasse                                                      ,Grün Stadt Zürich,Tiefenbrunnen (Strandbad)                                             ,10845,8008,sp135,135,POINT Z (2684410.8 1245284.5 0),POINT Z (2684410.8 1245284.5 0)
Sirius-/Hochstrasse                                                   ,Grün Stadt Zürich,Siriuswiese                                                           ,10850,8044,sp043,43,POINT Z (2684137.2 1248370.5 0),POINT Z (2684137.2 1248370.5 0)
Freudenbergstrasse 41                                                 ,Grün Stadt Zürich,Schlössliareal                                                        ,10851,8044,sp042,42,POINT Z (2684549 1248504.9 0),POINT Z (2684549 1248504.9 0)
Ottikerweg/Stolzestrasse                                              ,Grün Stadt Zürich,Stolzewiese                                                           ,10852,8006,sp039,39,POINT Z (2683645 1249023.9 0),POINT Z (2683645 1249023.9 0)
Seestrasse                                                            ,Grün Stadt Zürich,Wollishofen (Strandbad)                                               ,10855,8038,sp180,180,POINT Z (2683072.8 1243906.5 0),POINT Z (2683072.8 1243906.5 0)
Cäsar Ritz Strasse                                                    ,Grün Stadt Zürich,Looächeranlage                                                        ,10856,8046,sp176,176,POINT Z (2679931 1253126.4 0),POINT Z (2679931 1253126.4 0)
"Am Katzenbach, Katzenbachweg                                          ",Grün Stadt Zürich,Freizeitanlage Seebach                                                ,10857,8052,sp164,164,POINT Z (2683598 1253105 0),POINT Z (2683598 1253105 0)
Neubrunnen-/Birchstrasse                                              ,Grün Stadt Zürich,Werkhof Zürich Nord                                                   ,10858,8050,sp162,162,POINT Z (2682934 1252383 0),POINT Z (2682934 1252383 0)
Bertastrasse/Zentralstrasse                                           ,Grün Stadt Zürich,Bertahof                                                              ,10859,8003,sp161,161,POINT Z (2681389.2 1247682.4 0),POINT Z (2681389.2 1247682.4 0)
Leutschenbachstrasse                                                  ,Grün Stadt Zürich,Leutschenpark                                                         ,10860,8050,sp149,149,POINT Z (2684336 1252471.9 0),POINT Z (2684336 1252471.9 0)
Ruedi-Walter-Strasse/Otto-Schütz-Weg                                  ,Grün Stadt Zürich,Wahlenpark                                                            ,10861,8050,sp148,148,POINT Z (2683172 1252246 0),POINT Z (2683172 1252246 0)
Möhrli-/Schanzackerstrasse                                            ,Grün Stadt Zürich,Möhrlianlage                                                          ,10877,8006,sp037,37,POINT Z (2683684 1249388.9 0),POINT Z (2683684 1249388.9 0)
Engelbertstrasse                                                      ,Grün Stadt Zürich,Mattenhof                                                             ,10882,8051,sp026,26,POINT Z (2686911 1250319.9 0),POINT Z (2686911 1250319.9 0)
Hüttenkopf-/Ziegelhüttenstrasse                                       ,Grün Stadt Zürich,Ziegelhütte                                                           ,10883,8051,sp025,25,POINT Z (2685691 1250379.9 0),POINT Z (2685691 1250379.9 0)
Buchegg-/Hofwiesenstrasse                                             ,Grün Stadt Zürich,GZ Buchegg                                                            ,10884,8057,sp024,24,POINT Z (2682741 1250454.9 0),POINT Z (2682741 1250454.9 0)
Obere Waidstrasse                                                     ,Grün Stadt Zürich,Obere Waidstrasse                                                     ,10885,8037,sp023,23,POINT Z (2681791 1250429.9 0),POINT Z (2681791 1250429.9 0)
Schürbungert/Steinkluppenweg/Anna Heer Strasse                        ,Grün Stadt Zürich,Steinkluppenanlage                                                    ,10886,8057,sp021,21,POINT Z (2683151 1250589.9 0),POINT Z (2683151 1250589.9 0)
Helen-Keller-Strasse                                                  ,Grün Stadt Zürich,GZ Hirzenbach                                                         ,10887,8051,sp020,20,POINT Z (2687025.8 1250787.2 0),POINT Z (2687025.8 1250787.2 0)
Gemeindehausstrasse 54                                                ,Grün Stadt Zürich,GZ Hottingen                                                          ,10963,8032,sp146,146,POINT Z (2684442.2 1247113.5 0),POINT Z (2684442.2 1247113.5 0)
Hohensteinstrasse/Schwendenholz-/Hohensteinweg                        ,Grün Stadt Zürich,Hohenstein                                                            ,10964,8055,sp145,145,POINT Z (2679219 1246117.9 0),POINT Z (2679219 1246117.9 0)
Im Schaber                                                            ,Grün Stadt Zürich,Hasenrain                                                             ,10965,8047,sp144,144,POINT Z (2678540.5 1247689.9 0),POINT Z (2678540.5 1247689.9 0)
Regina Kägi-Strasse                                                   ,Grün Stadt Zürich,Louis Häfliger Park                                                   ,10966,8050,sp143,143,POINT Z (2682637 1251876 0),POINT Z (2682637 1251876 0)
Bleulerstrasse                                                        ,Grün Stadt Zürich,Sportanlage Lengg                                                     ,10967,8008,sp142,142,POINT Z (2685616.2 1244998.4 0),POINT Z (2685616.2 1244998.4 0)
Seestrasse 407                                                        ,Grün Stadt Zürich,Rote Fabrik                                                           ,11009,8038,sp116,116,POINT Z (2683003.5 1244150.4 0),POINT Z (2683003.5 1244150.4 0)
"Langgrütweg, zw. In d.Ey u. Langrütstr.                               ",Grün Stadt Zürich,Langgrüt - Altweg                                                     ,11010,8047,sp115,115,POINT Z (2679467.5 1247496 0),POINT Z (2679467.5 1247496 0)
Stauffacher-/St. Jakobstrasse                                         ,Grün Stadt Zürich,Lutherwiese                                                           ,11011,8004,sp114,114,POINT Z (2682294.8 1247651.8 0),POINT Z (2682294.8 1247651.8 0)
Süsslerenstrasse                                                      ,Grün Stadt Zürich,Süsslerenanlage                                                       ,11012,8047,sp113,113,POINT Z (2679685 1247798.5 0),POINT Z (2679685 1247798.5 0)
Feldstrasse 37                                                        ,Grün Stadt Zürich,Pflanzschulwiese                                                      ,11013,8004,sp111,111,POINT Z (2681723.8 1247809.9 0),POINT Z (2681723.8 1247809.9 0)
Helvetiaplatz                                                         ,Grün Stadt Zürich,Kanzleiwiese                                                          ,11014,8004,sp110,110,POINT Z (2682115 1247795.5 0),POINT Z (2682115 1247795.5 0)
"Kanonengasse 18, im Innenhof des alten Zeughaus                       ",Grün Stadt Zürich,Kasernenareal                                                         ,11015,8004,sp109,109,POINT Z (2682431.2 1247963.1 0),POINT Z (2682431.2 1247963.1 0)
Aemtlerstrasse                                                        ,Grün Stadt Zürich,Aemtleranlage                                                         ,11059,8003,sp067,67,POINT Z (2681001 1247554.9 0),POINT Z (2681001 1247554.9 0)
Sihlfeld-/Zentral-/Gertrudstrasse                                     ,Grün Stadt Zürich,Gertrudplatz                                                          ,11060,8003,sp066,66,POINT Z (2681431 1247582.9 0),POINT Z (2681431 1247582.9 0)
Lindenhofstrasse                                                      ,Grün Stadt Zürich,Lindenhof                                                             ,11061,8001,sp065,65,POINT Z (2683213.2 1247504.9 0),POINT Z (2683213.2 1247504.9 0)
Oetenbachgasse/Lindenhofstrasse                                       ,Grün Stadt Zürich,Urania                                                                ,11062,8001,sp064,64,POINT Z (2683268.2 1247552.1 0),POINT Z (2683268.2 1247552.1 0)
Zurlindenstrasse 235                                                  ,Grün Stadt Zürich,Zurlindenhof II                                                       ,11063,8003,sp063,63,POINT Z (2681115.8 1247714 0),POINT Z (2681115.8 1247714 0)
Zurlindenstrasse 232 (Spielplatz)                                     ,Grün Stadt Zürich,Zurlindenhof I                                                        ,11064,8003,sp062,62,POINT Z (2681189.2 1247786 0),POINT Z (2681189.2 1247786 0)
Fritschi-/Badener-/Zypressenstrasse                                   ,Grün Stadt Zürich,Fritschiwiese                                                         ,11065,8003,sp061,61,POINT Z (2681065.5 1247800 0),POINT Z (2681065.5 1247800 0)
Sunnige Hof 34a,Grün Stadt Zürich,Suunige Hof / Weibelackerstrasse,11107,,sp9575,170,POINT Z (2686722 1250449 0),POINT Z (2686722 1250449 0)
Opfikonstrasse,Tiefbauamt,Opfikonstrasse,11362,,sp9104,6,POINT Z (2685358 1252511 0),POINT Z (2685358 1252511 0)
Hegianwandweg 127,Grün Stadt Zürich,Frauental Tennisanlag,11363,8045,sp9105,30,POINT Z (2680711 1245370 0),POINT Z (2680711 1245370 0)
Bachwiesen Grünzug,Grün Stadt Zürich,Bachwiesen Grünzug,11364,,sp9106,112,POINT Z (2679119 1247808 0),POINT Z (2679119 1247808 0)
Quartierpark Schütze-Areal,Grün Stadt Zürich,Quartierpark Schütze (A) ,11430,8005,sp9568,0151A,POINT Z (2681913 1249300 0),POINT Z (2681913 1249300 0)
Quartierpark Schütze-Areal,Grün Stadt Zürich,Quartierpark Schütze (B),11433,8005,sp9569,0151B,POINT Z (2681913 1249300 0),POINT Z (2681913 1249300 0)
,Grün Stadt Zürich,GZ Riesbach (B),11434,8008,sp9570,150,POINT Z (2684286 1245967 0),POINT Z (2684286 1245967 0)
Bachtoblerpark,Grün Stadt Zürich,Bachtoblerpark,11435,,sp9571,152,POINT Z (2681458 1246145 0),POINT Z (2681458 1246145 0)
Zollikerstrasse,Grün Stadt Zürich,Seeburgpark,11436,,sp9572,153,POINT Z (2684420 1246125 0),POINT Z (2684420 1246125 0)
Ueberlandstrasse 489,Grün Stadt Zürich,Buchegg Tennisanlage,11437,8051,sp9573,167,POINT Z (2687307 1251175 0),POINT Z (2687307 1251175 0)
Regensdorferstrasse 237,Grün Stadt Zürich,Grünwald,11438,,sp9574,169,POINT Z (2678784 1252423 0),POINT Z (2678784 1252423 0)
Glaubten-Müsel,Grün Stadt Zürich,Glaubten-Müsel (Nord),11464,,sp9622,0088A,POINT Z (2680995 1251366 0),POINT Z (2680995 1251366 0)
,Grün Stadt Zürich,Glaubten-Müseli (Süd),11465,8049,sp9623,0088B,POINT Z (2681027 1251301 0),POINT Z (2681027 1251301 0)
Hallwylstreasse / Schimmelstrasse,Grün Stadt Zürich,Hallwylstreasse / Schimmelstrasse,11466,,sp9624,TAZ001,POINT Z (2682144 1247107 0),POINT Z (2682144 1247107 0)
Steinstrasse / Gotthelfstrasse ,Grün Stadt Zürich,Steinstrasse / Gotthelfstrasse,11470,,sp9642,TAZ005,POINT Z (2681661 1246988 0),POINT Z (2681661 1246988 0)
Weststrasse / Werdstrasse,Grün Stadt Zürich,Weststrasse / Werdstrasse,11471,,sp9643,TAZ003,POINT Z (2681955 1247062 0),POINT Z (2681955 1247062 0)
Steinstrasse / Erlachstrasse,Grün Stadt Zürich,Steinstrasse / Erlachstrasse,11472,,sp9644,TAZ006,POINT Z (2681688 1246823 0),POINT Z (2681688 1246823 0)
Manesseplatz,Grün Stadt Zürich,Manesseplatz,11473,,sp9645,TAZ007,POINT Z (2681806 1246667 0),POINT Z (2681806 1246667 0)
Eibenstrasse / Manessestrasse,Grün Stadt Zürich,Eibenstrasse / Manessestrasse,11474,,sp9646,171,POINT Z (2681828 1246440 0),POINT Z (2681828 1246440 0)
Staffelstrasse,Grün Stadt Zürich,Staffelstrasse 8,11499,,sp9647,TAZ009,POINT Z (2681811 1246186 0),POINT Z (2681811 1246186 0)
Zurlindenstrasse (Eingang SPPL),Grün Stadt Zürich,Zurlindenstrasse (Eingang SPPL),11500,,sp9648,TAZ010,POINT Z (2681828 1246996 0),POINT Z (2681828 1246996 0)
Überdeckung Katzensee,Grün Stadt Zürich,Überdeckung Katzensee,11675,,sp9022,198,POINT Z (2679960 1253434 0),POINT Z (2679960 1253434 0)